Incident Type,Region of Incident,Incident Year,Month,Number of Dead,Total Number of Dead and Missing,Number of Males,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,Coordinates,Source Quality,Country of Origin Code,labor_force,gdp,literacy,gini,health,political,corruption,migration,electicity,cpi,death,survival_rate,male_to_total_dead_ratio,total_incidents,total_deaths,total_dead_and_missing,year,month,day,dayofweek
Incident,Central America,2015,June,1.0,1,1.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, (Chihuahua?), Mexico","26.0379097, -98.086004",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,June,9.0,9,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Municipality of Jalapa. About 55 km south east of Villahermosa, Tabasco while crossing the San Marcos River, Mexico","17.7212, -92.8139",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,July,2.0,2,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Highway near San Dionisio del Mar, San Francisco Ixhuatan, Istmo de Tehuantepec, Oaxaca, Mexico","16.357811, -94.758468",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,July,2.0,2,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"General Hospital Ixtepec, Oaxaca, Mexico","17.1602655, -97.33124",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,September,2.0,2,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"Puebla, Mexico","19.049997, -98.199999",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,North America,2015,September,5.0,5,1.0,Central America,Vehicle accident / death linked to hazardous transport,"Texas, USA",US-Mexico border crossing,"Highway 59 near Edna, Texas, USA","29.0416038, -96.785058",3,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,October,1.0,1,1.0,Central America,Sickness / lack of access to adequate healthcare,Mexico,US-Mexico border crossing,"Hospital General de Minatitlán, Veracruz, Mexico - near Coatzacoalcos","17.995878, -94.547559",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,November,2.0,2,2.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Bravo, near Hidalgo bridge, Nuevo Laredo, Tamaulipas, Mexico","27.5338623, -99.553539",3,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,Central America,2015,December,1.0,1,2.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Río Bravo, Las Adjuntas, Piedras Negras, Coahuila, Mexico","28.6779788, -100.521305",1,GTM,6022488.0,6022488.0,81.2858963012695,48.3,233.41566467,-0.654437899589539,-0.780903100967407,-48162.0,90.5392456054688,28.0,243.8,0.0,1.0,252,8929.0,12202,2015,1,1,3
Incident,North America,2016,January,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.152887, -111.237689",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,February,1.0,1,1.0,Central America,Mixed or unknown,"Texas, USA",US-Mexico border crossing,"River bank, Rio Grande City, Starr County, Texas, USA","26.364874, -98.8311192667",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,Central America,2016,April,1.0,1,1.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","27.4531416, -99.6148525",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,Central America,2016,April,1.0,1,1.0,Central America,Violence,Mexico,US-Mexico border crossing,"Unspecifiend location along the US-Mexico border, Mexican side","31.355119, -106.049866",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,Central America,2016,May,1.0,1,1.0,Central America,Violence,Mexico,US-Mexico border crossing,"Acacoyagua, Chiapas, Mexico","15.3421711, -92.6855944",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,June,1.0,1,1.0,Central America,Mixed or unknown,"Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.765067, -111.625183",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,June,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.21936, -111.24967",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,June,1.0,1,1.0,Central America,Mixed or unknown,"Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.39779, -111.03047",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,June,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.773083, -111.918183",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,July,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.23925, -111.4293",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,July,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.69473, -111.98491",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,July,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.7947, -111.82171",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,July,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.7945, -111.91465",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Texas, USA",US-Mexico border crossing,"US Highway 83 near La Grulla, Starr County, Texas","26.5101629, -99.0262463",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,Drowning,"Texas, USA",US-Mexico border crossing,"Rio Grande near El 5 ranch, Maverick County, Texas","28.6376735, -100.5282163",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Texas, USA",US-Mexico border crossing,"Desert near Del Rio, Val Verde County, Texas","29.7898371, -101.5026165",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water","Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.710317, -111.988583",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,Mixed or unknown,"Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.328607, -111.368233",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,Drowning,"Texas, USA",US-Mexico border crossing,"Rio Grande south of Eagle Pass, Maverick County, Texas","28.6376735, -100.5282163",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,North America,2016,August,1.0,1,1.0,Central America,Mixed or unknown,"Arizona, USA",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.836283, -111.938633",5,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
Incident,Central America,2016,August,6.0,6,1.0,Central America,Vehicle accident / death linked to hazardous transport,Mexico,US-Mexico border crossing,"KM 167 of federal highway near Reynosa, Tamaulipas, Mexico","24.215586, -99.4332699",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,0.16666666666666666,323,2573.0,7910,2016,1,1,4
Split Incident,Central America,2016,October,5.0,5,1.0,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Back of a truck, Novara, Tres Valles, Veracruz, Mexico","18.2681566, -95.8969461",3,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,0.2,323,2573.0,7910,2016,1,1,4
Split Incident,Central America,2016,October,1.0,1,1.0,South America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Back of a truck, Novara, Tres Valles, Veracruz, Mexico","18.2681566, -95.8969461",3,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,0.2,323,2573.0,7910,2016,1,1,4
Incident,Central America,2016,October,1.0,1,1.0,Central America,Drowning,Mexico,US-Mexico border crossing,"Echegaray River, Pijijiapan, Chiapas, Mexico","15.6788876, -93.2305494",1,GTM,6184488.0,6184488.0,81.2858963012695,48.3,246.11730957,-0.545003712177277,-0.790915012359619,-39266.0,91.765869140625,28.0,482.6,0.0,1.0,323,2573.0,7910,2016,1,1,4
